Date,Open,High,Low,Close,Volume
01/09/2017,"122.03","122.55","121.95","122.33","18,909,230"
01/06/2017,"120.99","122.25","120.69","121.93","24,074,311"
01/05/2017,"120.16","120.95","120.10","120.87","20,644,250"
01/04/2017,"119.67","120.41","119.66","120.19","19,749,070"
01/03/2017,"119.31","119.99","118.89","119.54","22,307,609"
12/30/2016,"119.93","119.95","118.14","118.48","41,749,031"
12/29/2016,"119.86","120.13","119.33","119.71","13,267,520"
12/28/2016,"121.06","121.19","119.80","119.88","17,975,240"
12/27/2016,"120.44","121.52","120.41","120.82","16,110,550"
12/23/2016,"119.96","120.25","119.81","120.20","9,007,470"
12/22/2016,"120.46","120.50","119.65","120.12","16,645,000"
12/21/2016,"120.57","120.68","120.19","120.46","7,079,300"
12/20/2016,"120.43","120.77","120.33","120.55","11,461,800"
12/19/2016,"119.74","120.83","119.55","120.09","21,138,660"
12/16/2016,"120.28","120.58","119.36","119.60","26,283,910"
12/15/2016,"120.37","121.11","120.08","120.40","22,762,311"
12/14/2016,"120.56","121.00","119.86","120.21","28,745,990"
12/13/2016,"119.35","121.11","119.32","120.46","54,477,887"
12/12/2016,"118.95","119.21","118.47","118.96","23,259,311"
12/09/2016,"119.03","119.54","119.00","119.50","21,863,131"
12/08/2016,"118.40","118.87","118.18","118.57","18,578,430"
12/07/2016,"116.64","118.51","116.29","118.36","26,622,439"
12/06/2016,"116.88","117.08","116.39","116.88","27,293,350"
12/05/2016,"116.32","117.06","115.77","116.60","21,419,670"
12/02/2016,"115.57","116.16","115.22","115.70","32,876,852"
12/01/2016,"117.46","117.47","115.29","115.47","39,796,594"
11/30/2016,"119.06","119.13","117.46","117.50","30,405,340"
11/29/2016,"118.63","119.51","118.30","118.94","18,552,961"
11/28/2016,"118.64","119.08","118.41","118.53","13,479,050"
11/25/2016,"118.56","118.85","118.42","118.80","7,162,785"
11/23/2016,"118.51","118.64","117.90","118.42","22,925,949"
11/22/2016,"118.97","119.19","118.61","118.90","18,850,641"
11/21/2016,"117.60","118.65","117.57","118.54","20,268,551"
11/18/2016,"117.83","118.10","117.21","117.32","16,428,660"
11/17/2016,"116.86","117.78","116.61","117.76","20,598,551"
11/16/2016,"115.70","116.99","115.67","116.91","16,538,131"
11/15/2016,"115.47","116.62","115.33","116.22","31,796,600"
11/14/2016,"115.84","115.94","114.03","114.63","35,905,980"
11/11/2016,"115.21","116.05","114.84","115.80","41,115,168"
11/10/2016,"118.14","118.38","114.20","115.75","72,824,648"
11/09/2016,"115.71","117.84","115.60","117.65","70,234,391"
11/08/2016,"116.21","117.64","115.96","117.11","20,777,920"
11/07/2016,"115.45","116.47","115.30","116.35","26,591,250"
11/04/2016,"113.72","114.54","113.45","113.65","26,997,449"
11/03/2016,"115.02","115.37","113.92","114.05","36,205,191"
11/02/2016,"116.05","116.30","114.89","115.18","26,960,090"
11/01/2016,"117.19","117.21","115.10","116.11","23,498,711"
10/31/2016,"117.53","117.53","116.93","116.99","18,749,359"
10/28/2016,"117.47","118.11","116.74","117.10","35,369,246"
10/27/2016,"118.90","118.99","117.67","117.84","19,099,789"
10/26/2016,"118.41","119.03","118.03","118.38","20,463,699"
10/25/2016,"119.62","119.66","119.01","119.19","20,341,840"
10/24/2016,"118.93","119.65","118.89","119.57","19,142,990"
10/21/2016,"117.80","118.22","117.41","118.15","15,707,800"
10/20/2016,"117.68","117.97","117.03","117.71","18,132,250"
10/19/2016,"117.77","118.02","117.64","117.85","13,702,920"
10/18/2016,"118.18","118.41","117.80","117.86","19,276,660"
10/17/2016,"117.10","117.30","116.67","116.82","14,182,690"
10/14/2016,"117.58","118.05","117.07","117.14","21,313,320"
10/13/2016,"116.64","117.32","115.94","117.00","22,821,010"
10/12/2016,"117.58","117.82","117.06","117.42","14,267,820"
10/11/2016,"119.10","119.14","117.00","117.52","27,774,430"
10/10/2016,"119.06","119.48","119.03","119.22","19,687,340"
10/07/2016,"118.86","119.01","117.89","118.47","19,984,160"
10/06/2016,"118.63","118.98","118.15","118.73","11,987,060"
10/05/2016,"118.70","119.17","118.67","118.79","14,481,290"
10/04/2016,"118.86","119.16","117.92","118.37","21,239,740"
10/03/2016,"118.53","118.70","118.09","118.55","19,216,439"
09/30/2016,"118.15","119.07","118.03","118.72","25,543,199"
09/29/2016,"118.51","118.72","117.33","117.84","27,207,500"
09/28/2016,"118.62","118.77","118.09","118.70","14,794,330"
09/27/2016,"117.31","118.56","117.15","118.50","20,238,430"
09/26/2016,"117.66","117.80","117.17","117.34","16,403,881"
09/23/2016,"118.92","119.00","118.16","118.33","22,213,391"
09/22/2016,"118.85","119.22","118.72","119.09","22,614,420"
09/21/2016,"117.48","118.32","116.81","118.15","31,546,779"
09/20/2016,"117.19","117.48","116.80","117.00","18,078,580"
09/19/2016,"117.57","117.95","116.55","116.78","16,222,870"
09/16/2016,"117.22","117.41","116.71","117.29","27,596,529"
09/15/2016,"115.89","117.82","115.86","117.64","39,466,527"
09/14/2016,"115.43","116.47","115.38","115.84","28,221,760"
09/13/2016,"115.73","116.09","114.73","115.29","45,863,941"
09/12/2016,"113.64","116.49","113.63","116.33","39,645,961"
09/09/2016,"116.23","116.51","114.26","114.28","50,813,289"
09/08/2016,"117.57","117.60","116.92","117.23","20,125,320"
09/07/2016,"117.95","118.12","117.47","117.92","17,546,869"
09/06/2016,"117.29","117.85","117.06","117.85","18,525,230"
09/02/2016,"117.32","117.56","116.68","117.12","18,088,221"
09/01/2016,"116.48","116.88","115.91","116.74","20,944,730"
08/31/2016,"116.38","116.56","115.95","116.44","16,169,790"
08/30/2016,"116.73","117.09","116.16","116.56","19,843,301"
08/29/2016,"116.81","117.25","116.79","116.94","11,184,870"
08/26/2016,"116.66","117.54","116.08","116.78","23,895,961"
08/25/2016,"116.48","116.97","116.36","116.61","24,266,260"
08/24/2016,"117.49","117.64","116.41","116.80","17,728,660"
08/23/2016,"117.79","118.01","117.51","117.56","11,997,930"
08/22/2016,"117.09","117.55","116.87","117.35","14,500,620"
08/19/2016,"117.10","117.52","116.76","117.26","18,742,961"
08/18/2016,"117.15","117.46","116.95","117.29","10,036,290"
08/17/2016,"117.08","117.30","116.43","117.26","15,980,330"
08/16/2016,"117.47","117.49","117.03","117.05","14,161,450"
08/15/2016,"117.33","117.97","117.31","117.70","11,777,760"
08/12/2016,"116.91","117.21","116.79","117.20","19,379,039"
08/11/2016,"117.01","117.37","116.78","117.12","12,969,800"
08/10/2016,"116.96","117.02","116.31","116.62","14,688,410"
08/09/2016,"116.73","117.29","116.67","116.92","13,276,460"
08/08/2016,"116.82","116.87","116.28","116.65","12,358,180"
08/05/2016,"116.28","117.04","116.13","116.78","23,196,570"
08/04/2016,"115.32","115.78","115.03","115.67","12,835,300"
08/03/2016,"114.88","115.35","114.80","115.34","15,011,270"
08/02/2016,"115.68","115.77","114.22","114.96","21,278,381"
08/01/2016,"115.31","118.78","115.17","115.84","13,990,080"
07/29/2016,"115.24","115.54","114.87","115.23","22,385,320"
07/28/2016,"114.76","115.11","114.40","114.98","16,939,660"
