Date,Open,High,Low,Close,Volume
01/08/2018,"55.10","56.25","54.65","55.50","88,121,680"
01/05/2018,"53.55","54.23","52.77","53.85","58,012,400"
01/04/2018,"53.94","54.51","53.17","53.40","58,326,880"
01/03/2018,"51.03","53.43","50.94","53.12","91,470,360"
01/02/2018,"48.95","49.88","48.63","49.84","35,561,668"
12/29/2017,"49.62","49.62","48.38","48.38","27,996,464"
12/28/2017,"49.53","49.85","49.29","49.35","24,024,992"
12/27/2017,"49.23","49.99","49.08","49.29","32,948,892"
12/26/2017,"48.26","49.44","47.96","49.36","35,508,132"
12/22/2017,"48.60","48.91","47.81","48.82","46,627,480"
12/21/2017,"49.24","49.49","48.89","48.97","30,090,504"
12/20/2017,"49.43","49.52","48.64","49.20","28,881,824"
12/19/2017,"49.38","49.43","48.74","49.03","37,309,972"
12/18/2017,"48.30","49.51","48.00","49.48","47,770,240"
12/15/2017,"47.06","48.10","46.41","47.89","67,003,524"
12/14/2017,"46.48","47.34","46.15","46.62","43,816,240"
12/13/2017,"48.13","48.14","46.47","46.55","55,427,960"
12/12/2017,"48.23","48.46","47.47","47.71","45,501,800"
12/11/2017,"48.02","48.70","47.86","48.67","37,274,964"
12/08/2017,"48.50","48.70","47.79","47.87","46,687,440"
12/07/2017,"47.99","48.40","47.53","48.00","54,259,960"
12/06/2017,"46.43","47.54","46.21","47.32","46,703,040"
12/05/2017,"45.60","48.18","45.15","46.94","98,148,756"
12/04/2017,"50.01","50.08","46.13","46.67","124,084,476"
12/01/2017,"49.83","50.03","48.12","49.42","81,155,000"
11/30/2017,"49.80","50.67","49.16","50.18","82,376,796"
11/29/2017,"52.50","52.53","47.81","49.11","139,678,952"
11/28/2017,"53.59","53.68","52.06","52.68","51,275,200"
11/27/2017,"54.33","54.34","53.50","53.54","42,289,440"
11/24/2017,"53.90","54.25","53.65","54.24","18,075,200"
11/22/2017,"54.25","54.25","53.40","53.73","35,663,992"
11/21/2017,"53.92","54.13","53.60","54.01","39,917,432"
11/20/2017,"53.00","53.64","52.63","53.52","39,610,044"
11/17/2017,"53.48","53.84","52.69","52.84","51,566,280"
11/16/2017,"53.25","53.55","52.81","52.90","44,176,720"
11/15/2017,"52.99","53.00","51.95","52.50","50,194,920"
11/14/2017,"53.25","53.70","52.81","53.55","52,929,280"
11/13/2017,"54.04","54.29","53.00","53.16","58,237,640"
11/10/2017,"53.27","54.67","52.91","54.04","125,325,476"
11/09/2017,"51.32","51.58","50.09","51.33","97,856,280"
11/08/2017,"52.96","53.00","51.81","52.29","52,298,840"
11/07/2017,"52.64","53.23","52.51","53.01","42,770,160"
11/06/2017,"51.80","52.50","51.68","52.41","38,994,464"
11/03/2017,"51.80","52.17","51.34","52.17","35,364,096"
11/02/2017,"51.50","51.95","50.91","51.49","34,230,952"
11/01/2017,"52.34","52.49","51.15","51.80","50,257,800"
10/31/2017,"51.28","51.97","51.23","51.70","41,190,840"
10/30/2017,"50.47","51.52","50.31","50.96","50,405,680"
10/27/2017,"49.45","50.47","49.19","50.47","57,219,360"
10/26/2017,"48.70","49.04","48.45","48.92","32,274,252"
10/25/2017,"49.27","49.81","47.79","48.42","82,816,116"
10/24/2017,"49.25","49.69","48.99","49.67","40,724,520"
10/23/2017,"49.45","49.71","48.95","49.16","42,869,520"
10/20/2017,"49.62","49.90","49.14","49.23","45,161,840"
