Date,Open,High,Low,Close,Volume
01/06/2020,"58.08","59.32","57.82","59.27","26,291,248"
01/03/2020,"58.78","59.46","58.53","59.02","20,577,232"
01/02/2020,"59.69","59.98","59.18","59.98","23,767,876"
12/31/2019,"57.73","58.92","57.53","58.83","23,121,132"
12/30/2019,"59.00","59.05","57.77","58.08","25,824,712"
12/27/2019,"59.95","60.09","58.95","59.22","25,481,004"
12/26/2019,"59.69","60.08","59.50","59.80","18,321,804"
12/24/2019,"59.55","59.83","59.21","59.66","13,886,388"
12/23/2019,"60.13","60.45","59.60","59.71","35,539,260"
12/20/2019,"59.53","60.10","59.34","59.84","60,338,440"
12/19/2019,"57.73","59.00","57.68","58.87","45,310,680"
12/18/2019,"57.42","57.99","57.34","57.38","34,427,876"
12/17/2019,"56.48","57.30","56.38","57.07","32,326,392"
12/16/2019,"56.48","57.02","56.19","56.29","32,130,736"
12/13/2019,"56.05","57.25","55.46","56.00","45,465,440"
12/12/2019,"54.05","56.20","53.96","56.02","40,608,320"
12/11/2019,"53.60","54.39","53.58","54.34","23,400,988"
12/10/2019,"53.35","54.02","52.82","53.50","25,668,912"
12/09/2019,"52.81","53.59","52.73","53.04","21,513,280"
12/06/2019,"52.88","53.37","52.78","53.04","23,241,828"
12/05/2019,"52.58","52.73","51.88","52.19","18,513,776"
12/04/2019,"52.76","52.98","52.07","52.36","27,361,836"
12/03/2019,"50.47","51.96","50.09","51.92","47,414,600"
12/02/2019,"54.12","54.25","52.16","52.31","37,386,968"
11/29/2019,"54.25","54.54","53.95","54.19","14,155,696"
11/27/2019,"54.67","55.01","54.30","54.56","21,642,872"
11/26/2019,"55.13","55.17","54.19","54.25","38,568,092"
11/25/2019,"54.01","55.35","53.88","55.30","50,734,760"
11/22/2019,"52.77","53.24","52.49","52.72","22,409,880"
11/21/2019,"52.75","53.31","52.33","52.55","28,838,920"
11/20/2019,"51.77","53.64","51.64","52.80","47,301,760"
11/19/2019,"52.76","53.00","51.41","52.00","41,538,040"
11/18/2019,"50.97","53.34","50.94","53.07","57,531,840"
11/15/2019,"52.43","52.94","50.16","51.05","105,421,640"
11/14/2019,"52.23","52.47","51.63","52.45","52,700,680"
11/13/2019,"52.09","52.37","51.48","52.14","30,236,496"
11/12/2019,"52.43","52.97","52.08","52.40","28,383,884"
11/11/2019,"51.94","52.28","51.07","52.05","24,378,944"
11/08/2019,"51.92","52.26","51.54","51.95","18,940,748"
11/07/2019,"52.78","52.93","51.64","52.09","28,033,992"
11/06/2019,"52.16","52.42","51.03","51.91","26,901,340"
11/05/2019,"52.62","52.89","51.92","52.40","30,086,848"
11/04/2019,"51.46","52.75","51.23","52.63","37,671,620"
11/01/2019,"49.90","50.97","49.65","50.65","28,363,824"
10/31/2019,"50.54","50.75","49.45","50.26","20,973,260"
10/30/2019,"51.00","51.06","50.07","50.75","20,596,152"
10/29/2019,"51.56","51.62","50.54","50.73","21,123,680"
10/28/2019,"51.58","52.23","51.28","51.70","33,079,164"
10/25/2019,"50.03","51.35","49.95","51.14","42,309,160"
10/24/2019,"49.19","49.55","48.85","49.22","23,903,732"
10/23/2019,"48.08","48.92","47.76","48.77","28,577,000"
10/22/2019,"49.58","50.63","48.83","48.90","33,736,912"
10/21/2019,"48.24","49.14","48.05","49.00","26,696,724"
10/18/2019,"48.58","48.91","46.88","47.62","30,762,420"
10/17/2019,"49.00","49.45","48.03","48.57","26,431,696"
10/16/2019,"48.75","49.81","48.44","48.55","43,275,320"
10/15/2019,"47.54","49.82","47.40","49.09","66,798,524"
10/14/2019,"46.41","46.84","46.10","46.63","21,033,576"
10/11/2019,"46.60","47.34","46.41","46.50","45,086,680"
10/10/2019,"45.16","46.27","45.10","45.76","32,751,556"
10/09/2019,"45.08","45.68","44.79","45.18","30,788,328"
10/08/2019,"45.16","45.16","44.13","44.31","44,934,280"
10/07/2019,"46.15","47.09","46.06","46.08","48,831,360"
10/04/2019,"45.35","45.79","44.70","45.49","26,796,020"
10/03/2019,"43.31","45.39","43.00","45.33","46,273,080"
10/02/2019,"43.28","43.40","42.53","43.26","29,566,176"
10/01/2019,"43.75","45.25","43.45","43.50","36,756,600"
09/30/2019,"43.20","43.62","42.89","43.52","19,319,908"
09/27/2019,"43.92","44.43","42.33","42.94","36,595,896"
09/26/2019,"44.46","44.55","43.82","44.34","23,782,592"
09/25/2019,"43.13","44.76","42.68","44.56","31,310,688"
09/24/2019,"44.03","44.32","42.78","43.13","32,124,180"
09/23/2019,"43.18","44.17","43.14","43.71","25,582,588"
09/20/2019,"44.23","44.46","43.07","43.17","35,725,180"
09/19/2019,"45.06","45.24","44.13","44.24","25,634,276"
09/18/2019,"45.20","45.36","44.13","45.00","26,403,768"
09/17/2019,"45.12","45.31","44.65","45.27","22,847,312"
09/16/2019,"44.73","45.40","44.63","45.05","23,183,184"
09/13/2019,"45.40","45.77","45.05","45.49","32,459,148"
09/12/2019,"46.55","47.10","45.99","46.07","32,784,100"
09/11/2019,"45.94","46.57","45.65","46.08","36,151,128"
09/10/2019,"44.80","46.06","44.70","45.80","35,281,220"
09/09/2019,"44.98","46.00","44.96","45.13","41,752,520"
09/06/2019,"44.70","45.27","44.28","44.66","37,697,676"
09/05/2019,"43.22","45.00","43.20","44.94","69,648,524"
09/04/2019,"41.65","42.27","41.65","42.19","22,812,036"
09/03/2019,"41.15","41.48","40.81","41.04","29,651,080"
